framework,path,imports,javaFiles,imports/java_files
Spring,spring-guides/tut-rest,3,38,0.07894736842105263
Spring,spring-guides/gs-vault-config,6,3,2.0
Spring,spring-guides/gs-spring-boot,7,6,1.1666666666666667
Spring,spring-guides/gs-rest-service,4,6,0.6666666666666666
Spring,spring-guides/gs-spring-boot-docker,6,5,1.2
Spring,spring-guides/gs-scheduling-tasks,4,6,0.6666666666666666
Spring,spring-guides/gs-maven,0,5,0.0
Spring,spring-guides/gs-crud-with-vaadin,5,12,0.4166666666666667
Spring,spring-guides/gs-uploading-files,10,16,625
Spring,spring-guides/gs-testing-web,9,11,0.8181818181818182
Spring,spring-guides/gs-serving-web-content,4,5,0.8
Spring,spring-guides/gs-service-registration-and-discovery,6,8,0.75
Spring,spring-guides/gs-securing-web,4,6,0.6666666666666666
Spring,spring-guides/gs-rest-service-cors,4,6,0.6666666666666666
Spring,spring-guides/gs-relational-data-access,3,3,1.0
Spring,spring-guides/gs-producing-web-service,6,7,0.8571428571428571
Spring,spring-guides/gs-multi-module,5,9,0.5555555555555556
Spring,spring-guides/gs-messaging-stomp-websocket,4,7,0.5714285714285714
Spring,spring-guides/gs-messaging-rabbitmq,5,5,1.0
Spring,spring-guides/gs-messaging-jms,3,3,1.0
Spring,spring-guides/gs-gradle,0,5,0.0
Spring,spring-guides/gs-consuming-web-service,4,5,0.8
Spring,spring-guides/gs-consuming-rest,5,6,0.8333333333333334
Spring,spring-guides/gs-client-side-load-balancing,6,5,1.2
Spring,spring-guides/gs-centralized-configuration,4,8,0.5
Spring,spring-guides/gs-authenticating-ldap,4,6,0.6666666666666666
Spring,spring-guides/gs-accessing-mongodb-data-rest,4,6,0.6666666666666666
Spring,spring-guides/gs-accessing-data-rest,4,6,0.6666666666666666
Spring,spring-guides/gs-accessing-data-mysql,3,6,0.5
Spring,spring-guides/gs-accessing-data-jpa,6,6,1.0
Spring,spring-guides/getting-started-guides,6,9,0.6666666666666666
Spring,spring-guides/gs-accessing-data-gemfire,3,3,1.0
Spring,spring-guides/gs-validating-form-input,4,6,0.6666666666666666
Spring,spring-guides/gs-testing-restdocs,5,6,0.8333333333333334
Spring,spring-guides/gs-spring-boot-for-azure,4,3,1.3333333333333333
Spring,spring-guides/gs-rest-hateoas,6,7,0.8571428571428571
Spring,spring-guides/gs-reactive-rest-service,3,5,0.6
Spring,spring-guides/gs-messaging-redis,2,3,0.6666666666666666
Spring,spring-guides/gs-messaging-gcp-pubsub,2,2,1.0
Spring,spring-guides/gs-managing-transactions,4,5,0.8
Spring,spring-guides/gs-integration,3,4,0.75
Spring,spring-guides/gs-handling-form-submission,4,6,0.6666666666666666
Spring,spring-guides/gs-gateway,5,3,1.6666666666666667
Spring,spring-guides/gs-contract-rest,5,18,0.2777777777777778
Spring,spring-guides/gs-circuit-breaker,6,10,0.6
Spring,spring-guides/gs-caching-gemfire,3,4,0.75
Spring,spring-guides/gs-caching,3,10,0.3
Spring,spring-guides/gs-batch-processing,2,6,0.3333333333333333
Spring,spring-guides/gs-async-method,5,6,0.8333333333333334
Spring,spring-guides/gs-actuator-service,5,6,0.8333333333333334
Spring,spring-guides/gs-accessing-vault,4,2,2.0
Spring,spring-guides/gs-accessing-neo4j-data-rest,5,6,0.8333333333333334
Spring,spring-guides/gs-accessing-gemfire-data-rest,4,4,1.0
Spring,spring-guides/gs-accessing-data-neo4j,4,5,0.8
Spring,spring-guides/gs-accessing-data-mongodb,4,6,0.6666666666666666
Spring,spring-guides/tut-spring-boot-oauth2,4,10,0.4
Spring,spring-guides/quoters,3,6,0.5
