AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.916666666666667,0.4166666666666667,5.5,2.5,2.1666666666666665,0.1666666666666666,2.0,1.25,0.0833333333333333,1.5833333333333333,2.6666666666666665,1.0,1.8333333333333333,1.25,1.25,1.25,1.0,0.25,,,,,0.0,,0.0833333333333333,0.0,,,0.0091666666666666,1.25,1.25,1.25,1.0,method,,,dd0bef251c9509deac26e847d19880576a5187da,2019-10-30 16:25:36-07:00,0.0002423613914288,0.7607424043946795
1.5,1.5,1.5,1.0,13.0,1.0,11.5,0.5,1.0,7.5,5.5,0.0,,0.0,0.0,,,,5.5,2.5,5.5,18.5,0.0,0.0,0.0,5.5,,53.0,8.5,44.5,24.5,14.0,1.5,,,,13.0,21.5,10.5,12.0,,,,,,2.5,2.5,2.5,1.0,,1.0,0.5,,36.5,36.5,0.03,7.0,7.0,7.0,5.5,class,,,dd0bef251c9509deac26e847d19880576a5187da,2019-10-30 16:25:36-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,2.0,dd0bef251c9509deac26e847d19880576a5187da,2019-10-30 16:25:36-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.916666666666667,0.4166666666666667,5.5,2.5,2.1666666666666665,0.1666666666666666,2.0,1.25,0.0833333333333333,1.5833333333333333,2.6666666666666665,1.0,1.8333333333333333,1.25,1.25,1.25,1.0,0.25,,,,,0.0,,0.0833333333333333,0.0,,,0.0091666666666666,1.25,1.25,1.25,1.0,method,,,efe187bb2aa4a4572e3070833f68cfec319fbfcf,2019-10-30 17:34:53-07:00,0.0002423613914288,0.7607424043946795
1.5,1.5,1.5,1.0,13.0,1.0,11.5,0.5,1.0,7.5,5.5,0.0,,0.0,0.0,,,,5.5,2.5,5.5,18.5,0.0,0.0,0.0,5.5,,53.0,8.5,44.5,24.5,14.0,1.5,,,,13.0,21.5,10.5,12.0,,,,,,2.5,2.5,2.5,1.0,,1.0,0.5,,36.5,36.5,0.03,7.0,7.0,7.0,5.5,class,,,efe187bb2aa4a4572e3070833f68cfec319fbfcf,2019-10-30 17:34:53-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,2.0,efe187bb2aa4a4572e3070833f68cfec319fbfcf,2019-10-30 17:34:53-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.916666666666667,0.4166666666666667,5.5,2.5,2.1666666666666665,0.1666666666666666,2.0,1.25,0.0833333333333333,1.5833333333333333,2.6666666666666665,1.0,1.8333333333333333,1.25,1.25,1.25,1.0,0.25,,,,,0.0,,0.0833333333333333,0.0,,,0.0091666666666666,1.25,1.25,1.25,1.0,method,,,9a6695868093bd22f835f85b1aeacc68a14c59a6,2019-10-30 20:31:28-07:00,0.0002423613914288,0.7607424043946795
1.5,1.5,1.5,1.0,13.0,1.0,11.5,0.5,1.0,7.5,5.5,0.0,,0.0,0.0,,,,5.5,2.5,5.5,18.5,0.0,0.0,0.0,5.5,,53.0,8.5,44.5,24.5,14.0,1.5,,,,13.0,21.5,10.5,12.0,,,,,,2.5,2.5,2.5,1.0,,1.0,0.5,,36.5,36.5,0.03,7.0,7.0,7.0,5.5,class,,,9a6695868093bd22f835f85b1aeacc68a14c59a6,2019-10-30 20:31:28-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,2.0,9a6695868093bd22f835f85b1aeacc68a14c59a6,2019-10-30 20:31:28-07:00,0.0002423613914288,0.7607424043946795
,,,,,,,,,,,,,,,,,,,,,,,,,,1.9166666666666667,5.916666666666667,0.4166666666666667,5.5,2.5,2.1666666666666665,0.1666666666666666,2.0,1.25,0.0833333333333333,1.5833333333333333,2.6666666666666665,1.0,1.8333333333333333,1.25,1.25,1.25,1.0,0.25,,,,,0.0,,0.0833333333333333,0.0,,,0.0091666666666666,1.25,1.25,1.25,1.0,method,,,84d442b26c31a13cde71fc873017322115185271,2019-10-30 21:13:46-07:00,0.0002423613914288,0.7568963997893863
1.5,1.5,1.5,1.0,13.0,1.0,11.5,0.5,1.0,8.0,5.5,0.0,,0.0,0.0,,,,5.5,2.5,5.5,18.5,0.0,0.0,0.0,5.5,,53.0,8.5,44.5,24.5,14.0,1.5,,,,13.0,21.5,10.5,12.0,,,,,,2.5,2.5,2.5,1.0,,1.0,0.5,,36.5,36.5,0.03,7.0,7.0,7.0,5.5,class,,,84d442b26c31a13cde71fc873017322115185271,2019-10-30 21:13:46-07:00,0.0002423613914288,0.7568963997893863
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,2.0,84d442b26c31a13cde71fc873017322115185271,2019-10-30 21:13:46-07:00,0.0002423613914288,0.7568963997893863
,,,,,,,,,,,,,,,,,,,,,,,,,,1.9166666666666667,5.916666666666667,0.4166666666666667,5.5,2.5,2.1666666666666665,0.1666666666666666,2.0,1.25,0.0833333333333333,1.5833333333333333,2.6666666666666665,1.0,1.8333333333333333,1.25,1.25,1.25,1.0,0.25,,,,,0.0,,0.0833333333333333,0.0,,,0.0091666666666666,1.25,1.25,1.25,1.0,method,,,8d9326937619bb77badf8066594c9e85bee19c24,2019-10-30 21:14:11-07:00,0.0002423613914288,0.7568963997893863
