AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,0665bbaf235004f7c5cc01d76be9aef0f837d919,2016-06-29 18:30:45-07:00,0,0.7213940868910867
4.5,4.5,4.5,1.0,68.5,18.5,39.0,10.5,1.0,16.0,8.5,0.0,,5.0,0.0,,,,0.5,0.0,5.5,18.5,0.0,0.5,0.0,5.0,,200.5,33.0,126.5,18.0,102.5,41.0,,,,47.5,68.0,20.0,56.5,,,,,,10.0,10.0,10.0,1.0,,1.0,3.5,,0.0,0.0,0.39,17.0,17.0,17.0,5.5,class,,,0665bbaf235004f7c5cc01d76be9aef0f837d919,2016-06-29 18:30:45-07:00,0,0.7213940868910867
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,7.0,0665bbaf235004f7c5cc01d76be9aef0f837d919,2016-06-29 18:30:45-07:00,0,0.7213940868910867
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,0b88f61dd55dc6554d9b21e84561d7404268f664,2016-06-29 23:53:33-07:00,0,0.6142173955973703
4.5,4.5,4.5,1.0,68.5,18.5,39.0,10.5,1.0,16.0,8.5,0.0,,5.0,0.0,,,,0.5,0.0,5.5,18.5,0.0,0.5,0.0,5.0,,200.5,33.0,126.5,18.0,102.5,41.0,,,,47.5,68.0,20.0,56.5,,,,,,10.0,10.0,10.0,1.0,,1.0,3.5,,0.0,0.0,0.39,17.0,17.0,17.0,5.5,class,,,0b88f61dd55dc6554d9b21e84561d7404268f664,2016-06-29 23:53:33-07:00,0,0.6142173955973703
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,7.0,0b88f61dd55dc6554d9b21e84561d7404268f664,2016-06-29 23:53:33-07:00,0,0.6142173955973703
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,728c220f6a93da51cc32da7a14c81a762c0d9fa2,2016-06-29 23:57:16-07:00,0,0.6142173955973703
4.5,4.5,4.5,1.0,68.5,18.5,39.0,10.5,1.0,16.0,8.5,0.0,,5.0,0.0,,,,0.5,0.0,5.5,18.5,0.0,0.5,0.0,5.0,,200.5,33.0,126.5,18.0,102.5,41.0,,,,47.5,68.0,20.0,56.5,,,,,,10.0,10.0,10.0,1.0,,1.0,3.5,,0.0,0.0,0.39,17.0,17.0,17.0,5.5,class,,,728c220f6a93da51cc32da7a14c81a762c0d9fa2,2016-06-29 23:57:16-07:00,0,0.6142173955973703
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,7.0,728c220f6a93da51cc32da7a14c81a762c0d9fa2,2016-06-29 23:57:16-07:00,0,0.6142173955973703
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,b98010b2372b953b6dad8c12a4dbb3cbd196952c,2016-06-30 09:11:58-07:00,0,0.6142173955973703
4.5,4.5,4.5,1.0,68.5,18.5,39.0,10.5,1.0,16.0,8.5,0.0,,5.0,0.0,,,,0.5,0.0,5.5,18.5,0.0,0.5,0.0,5.0,,200.5,33.0,126.5,18.0,102.5,41.0,,,,47.5,68.0,20.0,56.5,,,,,,10.0,10.0,10.0,1.0,,1.0,3.5,,0.0,0.0,0.39,17.0,17.0,17.0,5.5,class,,,b98010b2372b953b6dad8c12a4dbb3cbd196952c,2016-06-30 09:11:58-07:00,0,0.6142173955973703
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,7.0,b98010b2372b953b6dad8c12a4dbb3cbd196952c,2016-06-30 09:11:58-07:00,0,0.6142173955973703
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,3bba1cdc52f340313b72b4bfeb22de87b9b3df8c,2016-06-30 10:04:56-07:00,0,0.6142173955973703
4.5,4.5,4.5,1.0,68.5,18.5,39.0,10.5,1.0,16.0,8.5,0.0,,5.0,0.0,,,,0.5,0.0,5.5,18.5,0.0,0.5,0.0,5.0,,200.5,33.0,126.5,18.0,102.5,41.0,,,,47.5,68.0,20.0,56.5,,,,,,10.0,10.0,10.0,1.0,,1.0,3.5,,0.0,0.0,0.39,17.0,17.0,17.0,5.5,class,,,3bba1cdc52f340313b72b4bfeb22de87b9b3df8c,2016-06-30 10:04:56-07:00,0,0.6142173955973703
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,7.0,3bba1cdc52f340313b72b4bfeb22de87b9b3df8c,2016-06-30 10:04:56-07:00,0,0.6142173955973703
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,35.9,5.2,24.8,3.3,20.5,5.9,16.2,88.8,0.4,9.5,13.3,3.7,11.3,3.3,3.3,3.3,1.0,0.6,,,,,0.0,,1.2,0.0,,,0.421,3.3,3.3,3.3,1.0,method,,,4bd7b8d0ae0bdf951a0690c8f5f4f1064ba9f412,2016-06-30 17:12:11+00:00,0,0.6142173955973703
