AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333333333,13.0,0.3333333333333333,8.583333333333334,1.25,6.083333333333333,4.083333333333333,4.25,2.583333333333333,0.1666666666666666,3.9166666666666665,5.416666666666667,1.25,4.333333333333333,2.25,1.5,2.25,1.0,3.0,,,,,0.0,,0.4166666666666667,0.0,,,0.75,2.25,1.5,2.25,1.0,method,,,c44115de37b6a6414577c0d2ca6deb23ba99a336,2017-03-21 10:30:11-07:00,0,0.7089961065600316
2.0,1.0,2.0,1.0,13.0,0.0,9.0,3.0,1.3333333333333333,8.0,6.0,0.0,,0.0,2.333333333333333,,,,4.666666666666667,1.6666666666666667,4.666666666666667,17.666666666666668,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,,103.33333333333331,11.0,67.66666666666667,15.333333333333334,46.66666666666666,24.666666666666668,,,,36.0,46.333333333333336,13.666666666666666,34.333333333333336,,,,,,5.333333333333333,2.333333333333333,5.333333333333333,1.0,,1.6666666666666667,1.0,,60.66666666666666,41.333333333333336,0.4366666666666667,9.666666666666666,6.666666666666667,9.666666666666666,4.666666666666667,class,,,c44115de37b6a6414577c0d2ca6deb23ba99a336,2017-03-21 10:30:11-07:00,0,0.7089961065600316
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,4.0,c44115de37b6a6414577c0d2ca6deb23ba99a336,2017-03-21 10:30:11-07:00,0,0.7089961065600316
,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333333333,13.0,0.3333333333333333,8.583333333333334,1.25,6.083333333333333,4.083333333333333,4.25,2.583333333333333,0.1666666666666666,3.9166666666666665,5.416666666666667,1.25,4.333333333333333,2.25,1.5,2.25,1.0,3.0,,,,,0.0,,0.4166666666666667,0.0,,,0.75,2.25,1.5,2.25,1.0,method,,,5756993f04645d7d91d1c02bf72819711a1a3d79,2017-05-17 13:34:13-07:00,0,0.7089961065600316
2.0,1.0,2.0,1.0,13.0,0.0,9.0,3.0,1.3333333333333333,8.0,6.0,0.0,,0.0,2.333333333333333,,,,4.666666666666667,1.6666666666666667,4.666666666666667,17.666666666666668,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,,103.33333333333331,11.0,67.66666666666667,15.333333333333334,46.66666666666666,24.666666666666668,,,,36.0,46.333333333333336,13.666666666666666,34.333333333333336,,,,,,5.333333333333333,2.333333333333333,5.333333333333333,1.0,,1.6666666666666667,1.0,,60.66666666666666,41.333333333333336,0.4366666666666667,9.666666666666666,6.666666666666667,9.666666666666666,4.666666666666667,class,,,5756993f04645d7d91d1c02bf72819711a1a3d79,2017-05-17 13:34:13-07:00,0,0.7089961065600316
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,4.0,5756993f04645d7d91d1c02bf72819711a1a3d79,2017-05-17 13:34:13-07:00,0,0.7089961065600316
,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333333333,13.0,0.3333333333333333,8.583333333333334,1.25,6.083333333333333,4.083333333333333,4.25,2.583333333333333,0.1666666666666666,3.9166666666666665,5.416666666666667,1.25,4.333333333333333,2.25,1.5,2.25,1.0,3.0,,,,,0.0,,0.4166666666666667,0.0,,,0.75,2.25,1.5,2.25,1.0,method,,,bac82ab84580374aa18e28e0b5df631b176c4cd8,2017-06-08 09:35:17-07:00,0,0.7089961065600316
2.0,1.0,2.0,1.0,13.0,0.0,9.0,3.0,1.3333333333333333,8.0,6.0,0.0,,0.0,2.333333333333333,,,,4.666666666666667,1.6666666666666667,4.666666666666667,17.666666666666668,0.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,,103.33333333333331,11.0,67.66666666666667,15.333333333333334,46.66666666666666,24.666666666666668,,,,36.0,46.333333333333336,13.666666666666666,34.333333333333336,,,,,,5.333333333333333,2.333333333333333,5.333333333333333,1.0,,1.6666666666666667,1.0,,60.66666666666666,41.333333333333336,0.4366666666666667,9.666666666666666,6.666666666666667,9.666666666666666,4.666666666666667,class,,,bac82ab84580374aa18e28e0b5df631b176c4cd8,2017-06-08 09:35:17-07:00,0,0.7089961065600316
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,2.0,4.0,bac82ab84580374aa18e28e0b5df631b176c4cd8,2017-06-08 09:35:17-07:00,0,0.7089961065600316
,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333333333,13.0,0.3333333333333333,8.583333333333334,1.25,6.083333333333333,4.083333333333333,4.25,2.583333333333333,0.1666666666666666,3.9166666666666665,5.416666666666667,1.25,4.333333333333333,2.25,1.5,2.25,1.0,3.0,,,,,0.0,,0.4166666666666667,0.0,,,0.75,2.25,1.5,2.25,1.0,method,,,c4081cf601a30e25d3f26ec9ee477d3d19c7531d,2017-10-10 17:53:57-07:00,0,0.7089961065600316
