AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,12.575,0.725,5.725,1.35,3.6,6.15,2.025,1.925,0.05,2.625,3.95,1.475,2.7,1.35,1.225,1.35,0.975,0.55,,,,,0.0,,0.15,0.0,,,1.4595,1.35,1.225,1.35,0.975,method,,,07d4e2cf19d86ee99f41dffe20878e19f90bbb0e,2014-09-02 11:01:46-07:00,1.684247763478197e-05,0.8839471237408737
1.2222222222222223,1.1111111111111112,1.2222222222222223,1.0,16.22222222222222,1.3333333333333333,6.555555555555555,8.333333333333334,1.4444444444444444,5.777777777777778,3.333333333333333,0.0,,2.0,0.8888888888888888,,,,3.111111111111111,0.7777777777777778,5.111111111111111,18.11111111111111,0.0,0.1111111111111111,0.2222222222222222,4.777777777777778,,73.22222222222223,9.333333333333334,31.444444444444443,9.77777777777778,17.77777777777778,32.55555555555556,,,,13.77777777777778,21.22222222222222,9.666666666666666,12.555555555555555,,,,,,2.4444444444444446,1.8888888888888888,2.4444444444444446,1.0,,1.5555555555555556,0.5555555555555556,,27.444444444444443,16.77777777777778,0.8711111111111111,6.777777777777778,6.222222222222222,6.777777777777778,5.111111111111111,class,,,07d4e2cf19d86ee99f41dffe20878e19f90bbb0e,2014-09-02 11:01:46-07:00,1.684247763478197e-05,0.8839471237408737
,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,7.0,07d4e2cf19d86ee99f41dffe20878e19f90bbb0e,2014-09-02 11:01:46-07:00,1.684247763478197e-05,0.8839471237408737
,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,12.575,0.725,5.725,1.35,3.6,6.15,2.025,1.925,0.05,2.625,3.95,1.475,2.7,1.35,1.225,1.35,0.975,0.55,,,,,0.0,,0.15,0.0,,,1.4595,1.35,1.225,1.35,0.975,method,,,79fec06a6d9cd66f0947306e928268d593215f1b,2014-11-18 16:21:09-08:00,1.684247763478197e-05,0.44197356187043685
1.2222222222222223,1.1111111111111112,1.2222222222222223,1.0,16.22222222222222,1.3333333333333333,6.555555555555555,8.333333333333334,1.4444444444444444,5.777777777777778,3.333333333333333,0.0,,2.0,0.8888888888888888,,,,3.111111111111111,0.7777777777777778,5.111111111111111,18.11111111111111,0.0,0.1111111111111111,0.2222222222222222,4.777777777777778,,73.22222222222223,9.333333333333334,31.444444444444443,9.77777777777778,17.77777777777778,32.55555555555556,,,,13.77777777777778,21.22222222222222,9.666666666666666,12.555555555555555,,,,,,2.4444444444444446,1.8888888888888888,2.4444444444444446,1.0,,1.5555555555555556,0.5555555555555556,,27.444444444444443,16.77777777777778,0.8711111111111111,6.777777777777778,6.222222222222222,6.777777777777778,5.111111111111111,class,,,79fec06a6d9cd66f0947306e928268d593215f1b,2014-11-18 16:21:09-08:00,1.684247763478197e-05,0.44197356187043685
,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,7.0,79fec06a6d9cd66f0947306e928268d593215f1b,2014-11-18 16:21:09-08:00,1.684247763478197e-05,0.44197356187043685
,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,12.575,0.725,5.725,1.35,3.6,6.15,2.025,1.925,0.05,2.625,3.95,1.475,2.7,1.35,1.225,1.35,0.975,0.55,,,,,0.0,,0.15,0.0,,,1.4595,1.35,1.225,1.35,0.975,method,,,d3aa2233d8cb20e666cffc81de3c13e09af2c0ad,2014-12-03 01:59:44-08:00,1.684247763478197e-05,0.44197356187043685
1.2222222222222223,1.1111111111111112,1.2222222222222223,1.0,16.22222222222222,1.3333333333333333,6.555555555555555,8.333333333333334,1.4444444444444444,5.777777777777778,3.333333333333333,0.0,,2.0,0.8888888888888888,,,,3.111111111111111,0.7777777777777778,5.111111111111111,18.11111111111111,0.0,0.1111111111111111,0.2222222222222222,4.777777777777778,,73.22222222222223,9.333333333333334,31.444444444444443,9.77777777777778,17.77777777777778,32.55555555555556,,,,13.77777777777778,21.22222222222222,9.666666666666666,12.555555555555555,,,,,,2.4444444444444446,1.8888888888888888,2.4444444444444446,1.0,,1.5555555555555556,0.5555555555555556,,27.444444444444443,16.77777777777778,0.8711111111111111,6.777777777777778,6.222222222222222,6.777777777777778,5.111111111111111,class,,,d3aa2233d8cb20e666cffc81de3c13e09af2c0ad,2014-12-03 01:59:44-08:00,1.684247763478197e-05,0.44197356187043685
,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,7.0,d3aa2233d8cb20e666cffc81de3c13e09af2c0ad,2014-12-03 01:59:44-08:00,1.684247763478197e-05,0.44197356187043685
,,,,,,,,,,,,,,,,,,,,,,,,,,3.375,12.575,0.725,5.725,1.35,3.6,6.15,2.025,1.925,0.05,2.625,3.95,1.475,2.7,1.35,1.225,1.35,0.975,0.55,,,,,0.0,,0.15,0.0,,,1.4595,1.35,1.225,1.35,0.975,method,,,6a59c58a233996be008e9d6a01e1cbb82ab243c5,2014-12-05 15:07:42-08:00,1.684247763478197e-05,0.44197356187043685
