AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,8.857142857142858,0.4285714285714285,6.928571428571429,1.6785714285714286,4.642857142857143,1.5357142857142858,4.321428571428571,1.2142857142857142,0.0,3.321428571428572,4.714285714285714,1.6785714285714286,3.607142857142857,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2189285714285714,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,aac80cf4386db6346a57ef06510d8bf5393b61a4,2014-12-15 11:49:52-08:00,0.0357960650386909,0.5479252141425413
1.0,1.0,1.0,0.9,5.9,0.1,4.9,0.7,1.1,7.3,4.6,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,43.8,5.8,29.8,10.9,15.5,8.3,,,,13.4,19.4,9.3,12.1,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.4,0.3199999999999999,3.6,3.6,3.6,3.0,class,,,aac80cf4386db6346a57ef06510d8bf5393b61a4,2014-12-15 11:49:52-08:00,0.0357960650386909,0.5479252141425413
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,6.0,4.0,aac80cf4386db6346a57ef06510d8bf5393b61a4,2014-12-15 11:49:52-08:00,0.0357960650386909,0.5479252141425413
,,,,,,,,,,,,,,,,,,,,,,,,,,3.678571428571429,8.964285714285714,0.4285714285714285,6.964285714285714,1.75,4.678571428571429,1.6071428571428572,4.285714285714286,1.2142857142857142,0.0,3.2857142857142856,4.678571428571429,1.6785714285714286,3.571428571428572,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2221428571428571,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,ff90fd88da2ba70f2bb92e0e5b7356cfc6e97a16,2015-01-21 12:13:35-08:00,0.0357960650386909,0.5486821868268513
1.0,1.0,1.0,0.9,6.1,0.1,5.0,0.7,1.1,7.3,4.6,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,44.2,5.8,29.9,11.1,15.6,8.6,,,,13.3,19.3,9.3,12.0,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.7,0.3229999999999999,3.6,3.6,3.6,3.0,class,,,ff90fd88da2ba70f2bb92e0e5b7356cfc6e97a16,2015-01-21 12:13:35-08:00,0.0357960650386909,0.5486821868268513
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,6.0,4.0,ff90fd88da2ba70f2bb92e0e5b7356cfc6e97a16,2015-01-21 12:13:35-08:00,0.0357960650386909,0.5486821868268513
,,,,,,,,,,,,,,,,,,,,,,,,,,3.678571428571429,8.892857142857142,0.3928571428571428,6.928571428571429,1.75,4.642857142857143,1.6071428571428572,4.214285714285714,1.2142857142857142,0.0,3.25,4.642857142857143,1.6785714285714286,3.5357142857142856,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2224999999999999,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,7e4ade58815a26d7a93939f31e582afe54d83ef3,2015-03-30 17:42:40-07:00,0.0357960650386909,0.546687236750907
1.0,1.0,1.0,0.9,6.0,0.1,5.0,0.7,1.1,7.4,4.7,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,44.2,5.8,29.9,11.2,15.5,8.6,,,,13.2,19.2,9.3,11.9,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.7,0.3229999999999999,3.6,3.6,3.6,3.0,class,,,7e4ade58815a26d7a93939f31e582afe54d83ef3,2015-03-30 17:42:40-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,6.0,4.0,7e4ade58815a26d7a93939f31e582afe54d83ef3,2015-03-30 17:42:40-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,,,,,,,,,,,,,,,3.678571428571429,8.892857142857142,0.3928571428571428,6.928571428571429,1.75,4.642857142857143,1.6071428571428572,4.214285714285714,1.2142857142857142,0.0,3.25,4.642857142857143,1.6785714285714286,3.5357142857142856,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2224999999999999,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,29822f57d53ba6706c41fb80c3dec1d352d9445c,2015-04-28 10:53:07-07:00,0.0357960650386909,0.546687236750907
1.0,1.0,1.0,0.9,6.0,0.1,5.0,0.7,1.1,7.4,4.7,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,44.2,5.8,29.9,11.2,15.5,8.6,,,,13.2,19.2,9.3,11.9,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.7,0.3229999999999999,3.6,3.6,3.6,3.0,class,,,29822f57d53ba6706c41fb80c3dec1d352d9445c,2015-04-28 10:53:07-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,6.0,4.0,29822f57d53ba6706c41fb80c3dec1d352d9445c,2015-04-28 10:53:07-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,,,,,,,,,,,,,,,3.678571428571429,8.892857142857142,0.3928571428571428,6.928571428571429,1.75,4.642857142857143,1.6071428571428572,4.214285714285714,1.2142857142857142,0.0,3.25,4.642857142857143,1.6785714285714286,3.5357142857142856,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2224999999999999,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,62e61e9f635d4d86d03943531d7f73d26c1c7a2f,2015-05-21 10:03:22-07:00,0.0357960650386909,0.546687236750907
1.0,1.0,1.0,0.9,6.0,0.1,5.0,0.7,1.1,7.4,4.7,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,44.2,5.8,29.9,11.2,15.5,8.6,,,,13.2,19.2,9.3,11.9,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.7,0.3229999999999999,3.6,3.6,3.6,3.0,class,,,62e61e9f635d4d86d03943531d7f73d26c1c7a2f,2015-05-21 10:03:22-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,6.0,4.0,62e61e9f635d4d86d03943531d7f73d26c1c7a2f,2015-05-21 10:03:22-07:00,0.0357960650386909,0.546687236750907
,,,,,,,,,,,,,,,,,,,,,,,,,,3.678571428571429,8.892857142857142,0.3928571428571428,6.928571428571429,1.75,4.642857142857143,1.6071428571428572,4.214285714285714,1.2142857142857142,0.0,3.25,4.642857142857143,1.6785714285714286,3.5357142857142856,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,0.1785714285714285,,,,,0.1071428571428571,,0.25,0.1071428571428571,,,0.2224999999999999,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0714285714285714,method,,,9ad2e76c3fc874a65b1658736ec788f7a227f8a7,2015-05-28 11:58:05-07:00,0.0357960650386909,0.546687236750907
1.0,1.0,1.0,0.9,6.0,0.1,5.0,0.7,1.1,7.4,4.7,0.0,,0.1,0.1,,,,2.9,1.8,3.0,16.0,0.1,0.0,0.3,2.6,,44.2,5.8,29.9,11.2,15.5,8.6,,,,13.2,19.2,9.3,11.9,,,,,,1.4,1.4,1.4,0.9,,1.8,0.5,,32.7,32.7,0.3229999999999999,3.6,3.6,3.6,3.0,class,,,9ad2e76c3fc874a65b1658736ec788f7a227f8a7,2015-05-28 11:58:05-07:00,0.0357960650386909,0.546687236750907
