AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4285714285714284,27.571428571428573,1.1428571428571428,22.714285714285715,5.0,16.428571428571427,4.142857142857143,10.571428571428571,502.7142857142857,0.8571428571428571,10.857142857142858,16.142857142857142,5.285714285714286,13.428571428571429,5.0,5.0,5.0,2.2857142857142856,2.4285714285714284,,,,,2.0,,1.8571428571428568,1.5714285714285714,,,0.0728571428571428,5.0,5.0,5.0,2.2857142857142856,method,,,aa3461fdb7ca99ae17a6605ad190816f949df5e6,2014-07-30 17:41:11-06:00,0.0,0.7003667917516496
3.5,3.5,3.5,1.5,20.5,0.75,17.0,3.0,1.0,13.5,6.75,0.0,,0.25,1.5,,,,2.0,0.0,2.25,15.25,0.0,0.25,0.75,1.25,,66.0,5.5,50.5,14.25,34.25,10.75,,,,24.5,35.5,13.5,28.5,,,,,,7.25,7.25,7.25,3.0,,1.75,2.5,,0.0,0.0,0.1975,9.25,9.25,9.25,4.5,class,,,aa3461fdb7ca99ae17a6605ad190816f949df5e6,2014-07-30 17:41:11-06:00,0.0,0.7003667917516496
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,6.0,aa3461fdb7ca99ae17a6605ad190816f949df5e6,2014-07-30 17:41:11-06:00,0.0,0.7003667917516496
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4285714285714284,27.571428571428573,1.1428571428571428,22.714285714285715,5.0,16.428571428571427,4.142857142857143,10.571428571428571,502.7142857142857,0.8571428571428571,10.857142857142858,16.142857142857142,5.285714285714286,13.428571428571429,5.0,5.0,5.0,2.2857142857142856,2.4285714285714284,,,,,2.0,,1.8571428571428568,1.5714285714285714,,,0.0728571428571428,5.0,5.0,5.0,2.2857142857142856,method,,,06c97e17fda769aef7ee5e706591e6ce747c0f85,2014-07-30 18:08:13-06:00,0.0,0.3501833958758248
3.5,3.5,3.5,1.5,20.5,0.75,17.0,3.0,1.0,13.5,6.75,0.0,,0.25,1.5,,,,2.0,0.0,2.25,15.25,0.0,0.25,0.75,1.25,,66.0,5.5,50.5,14.25,34.25,10.75,,,,24.5,35.5,13.5,28.5,,,,,,7.25,7.25,7.25,3.0,,1.75,2.5,,0.0,0.0,0.1975,9.25,9.25,9.25,4.5,class,,,06c97e17fda769aef7ee5e706591e6ce747c0f85,2014-07-30 18:08:13-06:00,0.0,0.3501833958758248
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,2.0,06c97e17fda769aef7ee5e706591e6ce747c0f85,2014-07-30 18:08:13-06:00,0.0,0.3501833958758248
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4285714285714284,27.571428571428573,1.1428571428571428,22.714285714285715,5.0,16.428571428571427,4.142857142857143,10.571428571428571,502.7142857142857,0.8571428571428571,10.857142857142858,16.142857142857142,5.285714285714286,13.428571428571429,5.0,5.0,5.0,2.2857142857142856,2.4285714285714284,,,,,2.0,,1.8571428571428568,1.5714285714285714,,,0.0728571428571428,5.0,5.0,5.0,2.2857142857142856,method,,,1df9c2ec0c541ab5f9263ff5fee10db97cd0d0df,2014-07-30 18:09:31-06:00,0.0,0.3501833958758248
3.5,3.5,3.5,1.5,20.5,0.75,17.0,3.0,1.0,13.5,6.75,0.0,,0.25,1.5,,,,2.0,0.0,2.25,15.25,0.0,0.25,0.75,1.25,,66.0,5.5,50.5,14.25,34.25,10.75,,,,24.5,35.5,13.5,28.5,,,,,,7.25,7.25,7.25,3.0,,1.75,2.5,,0.0,0.0,0.1975,9.25,9.25,9.25,4.5,class,,,1df9c2ec0c541ab5f9263ff5fee10db97cd0d0df,2014-07-30 18:09:31-06:00,0.0,0.3501833958758248
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,2.0,1df9c2ec0c541ab5f9263ff5fee10db97cd0d0df,2014-07-30 18:09:31-06:00,0.0,0.3501833958758248
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4285714285714284,27.571428571428573,1.1428571428571428,22.714285714285715,5.0,16.428571428571427,4.142857142857143,10.571428571428571,502.7142857142857,0.8571428571428571,10.857142857142858,16.142857142857142,5.285714285714286,13.428571428571429,5.0,5.0,5.0,2.2857142857142856,2.4285714285714284,,,,,2.0,,1.8571428571428568,1.5714285714285714,,,0.0728571428571428,5.0,5.0,5.0,2.2857142857142856,method,,,29a9ba4186e452739d717b47dd124da6a614ae11,2014-08-08 09:36:36-07:00,0.0,0.3501833958758248
3.5,3.5,3.5,1.5,20.5,0.75,17.0,3.0,1.0,13.5,6.75,0.0,,0.25,1.5,,,,2.0,0.0,2.25,15.25,0.0,0.25,0.75,1.25,,66.0,5.5,50.5,14.25,34.25,10.75,,,,24.5,35.5,13.5,28.5,,,,,,7.25,7.25,7.25,3.0,,1.75,2.5,,0.0,0.0,0.1975,9.25,9.25,9.25,4.5,class,,,29a9ba4186e452739d717b47dd124da6a614ae11,2014-08-08 09:36:36-07:00,0.0,0.3501833958758248
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,2.0,29a9ba4186e452739d717b47dd124da6a614ae11,2014-08-08 09:36:36-07:00,0.0,0.3501833958758248
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4285714285714284,27.571428571428573,1.1428571428571428,22.714285714285715,5.0,16.428571428571427,4.142857142857143,10.571428571428571,502.7142857142857,0.8571428571428571,10.857142857142858,16.142857142857142,5.285714285714286,13.428571428571429,5.0,5.0,5.0,2.2857142857142856,2.4285714285714284,,,,,2.0,,1.8571428571428568,1.5714285714285714,,,0.0728571428571428,5.0,5.0,5.0,2.2857142857142856,method,,,f889d0b722976ff0317832e99297392b29c46a45,2014-08-10 08:45:00-07:00,0.0,0.3501833958758248
3.5,3.5,3.5,1.5,20.5,0.75,17.0,3.0,1.0,13.5,6.75,0.0,,0.25,1.5,,,,2.0,0.0,2.25,15.25,0.0,0.25,0.75,1.25,,66.0,5.5,50.5,14.25,34.25,10.75,,,,24.5,35.5,13.5,28.5,,,,,,7.25,7.25,7.25,3.0,,1.75,2.5,,0.0,0.0,0.1975,9.25,9.25,9.25,4.5,class,,,f889d0b722976ff0317832e99297392b29c46a45,2014-08-10 08:45:00-07:00,0.0,0.3501833958758248
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,3.0,2.0,f889d0b722976ff0317832e99297392b29c46a45,2014-08-10 08:45:00-07:00,0.0,0.3501833958758248
