AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,ac662606216a80b15161ba09a4a0215e38a81e9e,2014-11-24 23:37:47-07:00,0.0103924609720706,0.6708522439002991
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,10.0,2.0,5.0,2.0,1.0,3.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.6,1.0,1.0,1.0,1.0,class,,,ac662606216a80b15161ba09a4a0215e38a81e9e,2014-11-24 23:37:47-07:00,0.0103924609720706,0.6708522439002991
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,ac662606216a80b15161ba09a4a0215e38a81e9e,2014-11-24 23:37:47-07:00,0.0103924609720706,0.6708522439002991
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,6eecf9b44cafad8c7ed7fd4d416c92c84a83b5b5,2014-12-16 12:32:46-07:00,0.0148467142134904,0.6708522439002991
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,10.0,2.0,5.0,2.0,1.0,3.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.6,1.0,1.0,1.0,1.0,class,,,6eecf9b44cafad8c7ed7fd4d416c92c84a83b5b5,2014-12-16 12:32:46-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,6eecf9b44cafad8c7ed7fd4d416c92c84a83b5b5,2014-12-16 12:32:46-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,50b6752176ba2a371c2284aa62403af2e45ef598,2014-12-18 09:21:27-07:00,0.0148467142134904,0.6708522439002991
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,10.0,2.0,5.0,2.0,1.0,3.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.6,1.0,1.0,1.0,1.0,class,,,50b6752176ba2a371c2284aa62403af2e45ef598,2014-12-18 09:21:27-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,50b6752176ba2a371c2284aa62403af2e45ef598,2014-12-18 09:21:27-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,58b0f46f8f72bed981d85eaac957ad926f7f461a,2015-02-25 15:46:04-07:00,0.0148467142134904,0.6708522439002991
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,10.0,2.0,5.0,2.0,1.0,3.0,,,,1.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.6,1.0,1.0,1.0,1.0,class,,,58b0f46f8f72bed981d85eaac957ad926f7f461a,2015-02-25 15:46:04-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,58b0f46f8f72bed981d85eaac957ad926f7f461a,2015-02-25 15:46:04-07:00,0.0148467142134904,0.6708522439002991
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,8af57a440f08e45fd19b05bfb5da2fe3000712ff,2015-11-11 13:20:18+00:00,0.0148467142134904,0.6708522439002991
