AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,2095c7c35b610a0b77391e8772fefd0cb1963b41,2013-04-19 09:46:04-05:00,0.8671303987503052,0.8531469851732254
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,2095c7c35b610a0b77391e8772fefd0cb1963b41,2013-04-19 09:46:04-05:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,2095c7c35b610a0b77391e8772fefd0cb1963b41,2013-04-19 09:46:04-05:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,4b3ab29c500df51fbf543fc877eac82cc33fecc7,2013-06-03 09:30:32+02:00,0.8671303987503052,0.8531469851732254
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,4b3ab29c500df51fbf543fc877eac82cc33fecc7,2013-06-03 09:30:32+02:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,4b3ab29c500df51fbf543fc877eac82cc33fecc7,2013-06-03 09:30:32+02:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,b15c3a701cda2fa6a30c50c5eb9c1b40564a6729,2013-06-12 10:21:12-05:00,0.8671303987503052,0.8531469851732254
1.0,1.0,1.0,1.0,4.25,0.25,4.0,0.0,1.0,2.75,0.75,0.0,,0.5,0.0,,,,0.5,0.0,1.0,14.0,0.0,0.0,0.0,1.0,,5.25,0.25,5.0,2.75,2.0,0.0,,,,2.0,4.0,2.75,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,class,,,b15c3a701cda2fa6a30c50c5eb9c1b40564a6729,2013-06-12 10:21:12-05:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,4.0,1.0,b15c3a701cda2fa6a30c50c5eb9c1b40564a6729,2013-06-12 10:21:12-05:00,0.8671303987503052,0.8531469851732254
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.25,0.25,4.0,1.75,2.0,0.0,1.5,1.0,0.0,2.0,3.0,1.75,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,method,,,d2eded240b92dd35f6138135267bc08e3080f50a,2013-06-12 12:12:53-05:00,0.8671303987503052,0.5687646567821503
