AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,Buse Readability,Scalabrino Readability
,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,16.333333333333332,2.0,13.0,3.333333333333333,10.666666666666666,1.3333333333333333,5.0,2.0,0.3333333333333333,6.0,8.666666666666666,4.0,6.333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.0,,,,,0.0,,0.3333333333333333,0.0,,,0.0466666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,method,,,cf57ef30a030792b3daeac9869a6360c75a82b1f,2013-04-19 17:39:59-07:00,0.0,0.7974505722522736
1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,16.0,2.0,12.666666666666666,1.3333333333333333,1.0,5.0,1.3333333333333333,0.0,,0.3333333333333333,0.0,,,,1.0,1.0,1.3333333333333333,14.333333333333334,0.0,0.0,0.0,1.3333333333333333,,30.0,5.0,23.0,7.333333333333333,15.0,2.0,,,,9.666666666666666,14.333333333333334,7.333333333333333,8.666666666666666,,,,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,,1.3333333333333333,0.3333333333333333,,0.0,0.0,0.0566666666666666,2.0,2.0,2.0,1.3333333333333333,class,,,cf57ef30a030792b3daeac9869a6360c75a82b1f,2013-04-19 17:39:59-07:00,0.0,0.7974505722522736
,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,cf57ef30a030792b3daeac9869a6360c75a82b1f,2013-04-19 17:39:59-07:00,0.0,0.7974505722522736
,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333333333333,10.833333333333334,0.8333333333333334,10.0,2.1666666666666665,7.5,0.1666666666666666,3.0,1.3333333333333333,0.0,5.0,7.0,3.333333333333333,5.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.1666666666666666,,,,,0.0,,0.1666666666666666,0.0,,,0.0333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,method,,,3db824f6af341917ed92680097169111a5691f89,2013-05-13 14:32:19-07:00,0.0,0.5126873652140299
1.25,1.25,1.25,1.0,7.75,0.25,7.25,0.0,1.0,6.75,4.0,0.0,,0.75,0.0,,,,0.75,0.0,1.5,14.5,0.0,0.0,0.0,1.5,,18.75,2.0,16.75,3.5,12.75,0.25,,,,7.5,10.75,5.25,7.5,,,,,,1.5,1.5,1.5,1.0,,1.75,0.25,,0.0,0.0,0.005,2.0,2.0,2.0,1.5,class,,,3db824f6af341917ed92680097169111a5691f89,2013-05-13 14:32:19-07:00,0.0,0.5126873652140299
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,3db824f6af341917ed92680097169111a5691f89,2013-05-13 14:32:19-07:00,0.0,0.5126873652140299
,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333333333333,10.833333333333334,0.8333333333333334,10.0,2.1666666666666665,7.5,0.1666666666666666,3.0,1.3333333333333333,0.0,5.0,7.0,3.333333333333333,5.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.1666666666666666,,,,,0.0,,0.1666666666666666,0.0,,,0.0333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,method,,,4a96dcd7ec3bbe58e8cd8cdf9c37282e055c3534,2013-05-13 14:33:24-07:00,0.0,0.5126873652140299
1.25,1.25,1.25,1.0,7.75,0.25,7.25,0.0,1.0,6.75,4.0,0.0,,0.75,0.0,,,,0.75,0.0,1.5,14.5,0.0,0.0,0.0,1.5,,18.75,2.0,16.75,3.5,12.75,0.25,,,,7.5,10.75,5.25,7.5,,,,,,1.5,1.5,1.5,1.0,,1.75,0.25,,0.0,0.0,0.005,2.0,2.0,2.0,1.5,class,,,4a96dcd7ec3bbe58e8cd8cdf9c37282e055c3534,2013-05-13 14:33:24-07:00,0.0,0.5126873652140299
,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,1.0,1.0,4a96dcd7ec3bbe58e8cd8cdf9c37282e055c3534,2013-05-13 14:33:24-07:00,0.0,0.5126873652140299
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,10.571428571428571,1.2857142857142858,9.142857142857142,2.2857142857142856,6.714285714285714,0.4285714285714285,2.571428571428572,1.2857142857142858,0.0,4.571428571428571,6.428571428571429,3.2857142857142856,4.428571428571429,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0,0.1428571428571428,,,,,0.0,,0.1428571428571428,0.0,,,0.0999999999999999,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0,method,,,5f626bc0c2ca32875d55b32066bd7c9dc31eb8a1,2013-05-13 16:48:26-07:00,0.267556369304657,0.3903738392723931
