,,JAVA,CLASSES,PKG,BWR,SAR,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,ELOC,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2017,10,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8177154881459602,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2017,11,0.7658536585365855,0.7658536585365855,0.6666666666666665,0.19768755913139807,0.05165851168579831,0.12381197455296405,0.09976760564615109,0.14070326946763867,0.1380892156977911,0.13405941618094278,0.16107458568631153,0.1317646203747076,0.0,0.08978404567016736,0.13422256813515576,0.00540566353087201,0.0,0.0,0.23798062578322254,0.8898183174383267,0.0,0.22359946530562252,0.516129032258063,0.20850480109739286,0.1824104234527696,0.2569856985698591,0.2581656455074152,0.13518823762115206,0.34020609196967605,0.2296380976243797,0.05967894239849696,0.0,0.39436619718308796,0.16574397939707217,0.504682040531097,0.22359946530562252,0.07373128524207723,0.0
2017,12,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,1,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,2,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,3,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,4,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,5,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,6,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.0
2018,7,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2018,8,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2018,9,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2018,10,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2018,11,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2018,12,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,1,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,2,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,3,1.0,1.0,1.0,0.2965313386970971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,4,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,5,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.25
2019,6,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.75
2019,7,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,0.75
2019,8,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,1.0
2019,9,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,1.0
2019,10,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,1.0
2019,11,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,1.0
2019,12,1.0,1.0,1.0,1.0,0.1013778710625008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.002869828893220622,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,7.738584250852578e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848287352441565e-16,1.0,0.0,0.0,1.0
2020,1,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.01972265572310694,0.018048461013783237,0.021885163194673683,0.02219441601195051,0.04444319210364096,0.0,0.0,1.0,0.0,0.05668200909810787,0.11346163029463886,0.07434481264890745,0.2766051194227167,0.0,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.09852890865549238,0.03481242170501924,0.11984202641972062,0.0,0.3323890462700655,0.0,0.0,0.00964392368880078,1.0,0.0,0.10266381489403083,1.0
2020,2,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.01972265572310694,0.018048461013783237,0.021885163194673683,0.02219441601195051,0.04444319210364096,0.0,0.0,1.0,0.0,0.05668200909810787,0.11346163029463886,0.07434481264890745,0.2766051194227167,0.0,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.09852890865549238,0.03481242170501924,0.11984202641972062,0.0,0.3323890462700655,0.0,0.0,0.00964392368880078,1.0,0.0,0.10266381489403083,1.0
2020,3,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.0028698288932225264,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,4,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.0028698288932225264,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,5,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.0028698288932225264,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,6,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.0028698288932225264,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,7,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759076017732827,0.0,0.0,0.0,0.0028698288932225264,0.14492006617506545,0.010502655500964131,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,8,1.0,1.0,1.0,0.9854465947352333,0.09505022399023576,0.01972265572310694,0.018048461013783237,0.021885163194673683,0.02219441601195051,0.04444319210364096,0.0,0.0,1.0,0.0,0.05668200909810787,0.11346163029463886,0.07434481264890745,0.2766051194227167,0.0,1.0,0.6873065015479857,0.0,0.0,0.0,0.0,0.0,0.09852890865549238,0.03481242170501924,0.11984202641972062,0.0,0.3323890462700655,0.0,0.0,0.00964392368880078,1.0,0.0,0.10266381489403083,1.0
