,,JAVA,CLASSES,PKG,BWR,SAR,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,ELOC,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2014,2,0.0,0.0,0.0,0.18430994184963218,0.5546551686368383,1.0,0.15828804347826084,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1906779661016949,0.1903846153846154,0.1875,0.1607142857142857,0.0,0.19148936170212766,0.0,0.306818181818182,0.3068181818181819,0.0,0.0,0.3068181818181819,0.3829787234042553,0.2410714285714286,0.4178571428571428,0.0,0.3068181818181819,0.0,0.0,0.6336206896551728,1.0,0.306818181818182,0.7916666666666666,0.0
2014,3,0.0,0.0,0.0,0.07819326709812191,0.945173699116882,0.7098850574712648,0.0,0.6929440389294409,0.6929440389294409,0.6929440389294409,0.6929440389294409,0.0,0.6929440389294409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,4,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,5,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,6,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,7,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,8,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,9,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,10,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
2014,11,0.0,0.0,0.0,0.0,1.0,0.6528735632183912,0.0,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.6326034063260344,0.0,0.6326034063260344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336206896551728,0.0,0.0,0.7916666666666666,0.0
