event_id,event_type,event_repository,code_sample_event,event_created_at,event_payload,event_action,language
21450517355,CreateEvent,mwilc0x/misc-scripts,0.0,2022-04-25T10:50:57Z,"{'ref': None, 'ref_type': 'repository', 'master_branch': 'master', 'description': None, 'pusher_type': 'user'}",,
21441972536,IssueCommentEvent,solana-labs/wallet-adapter,0.0,2022-04-24T21:29:54Z,"{'action': 'created', 'issue': {'url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356', 'repository_url': 'https://api.github.com/repos/solana-labs/wallet-adapter', 'labels_url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356/labels{/name}', 'comments_url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356/comments', 'events_url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356/events', 'html_url': 'https://github.com/solana-labs/wallet-adapter/issues/356', 'id': 1170344216, 'node_id': 'I_kwDOFPg5-85FwgkY', 'number': 356, 'title': 'Enormous bundle size', 'user': {'login': 'brihter', 'id': 1385269, 'node_id': 'MDQ6VXNlcjEzODUyNjk=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1385269?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/brihter', 'html_url': 'https://github.com/brihter', 'followers_url': 'https://api.github.com/users/brihter/followers', 'following_url': 'https://api.github.com/users/brihter/following{/other_user}', 'gists_url': 'https://api.github.com/users/brihter/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/brihter/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/brihter/subscriptions', 'organizations_url': 'https://api.github.com/users/brihter/orgs', 'repos_url': 'https://api.github.com/users/brihter/repos', 'events_url': 'https://api.github.com/users/brihter/events{/privacy}', 'received_events_url': 'https://api.github.com/users/brihter/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'open', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 11, 'created_at': '2022-03-15T22:54:18Z', 'updated_at': '2022-04-24T21:29:54Z', 'closed_at': None, 'author_association': 'NONE', 'active_lock_reason': None, 'body': '**Describe the bug**\r\n\r\nUsing the wallet adapter and bundling it with `esbuild` produces an enormous bundle (1.3MB for a simple script). A minimal example [here](https://github.com/brihter/solana-test) with reproduction steps below.\r\n\r\nIs this expected, perhaps a regression or am I doing something wrong?\r\n\r\n**To Reproduce**\r\n\r\n```\r\ncd ~\r\ngit clone git@github.com:brihter/solana-test.git\r\ncd solana-test/\r\nnpm install\r\nrm index.min.js\r\nnpm run build\r\nls -lh index.min.js # 1.3M\r\n```\r\n\r\n**Expected behavior**\r\n\r\nSmaller bundle sizes.', 'reactions': {'url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356/timeline', 'performed_via_github_app': None}, 'comment': {'url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/comments/1107922164', 'html_url': 'https://github.com/solana-labs/wallet-adapter/issues/356#issuecomment-1107922164', 'issue_url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/356', 'id': 1107922164, 'node_id': 'IC_kwDOFPg5-85CCYz0', 'user': {'login': 'mwilc0x', 'id': 161528, 'node_id': 'MDQ6VXNlcjE2MTUyOA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/161528?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mwilc0x', 'html_url': 'https://github.com/mwilc0x', 'followers_url': 'https://api.github.com/users/mwilc0x/followers', 'following_url': 'https://api.github.com/users/mwilc0x/following{/other_user}', 'gists_url': 'https://api.github.com/users/mwilc0x/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mwilc0x/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mwilc0x/subscriptions', 'organizations_url': 'https://api.github.com/users/mwilc0x/orgs', 'repos_url': 'https://api.github.com/users/mwilc0x/repos', 'events_url': 'https://api.github.com/users/mwilc0x/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mwilc0x/received_events', 'type': 'User', 'site_admin': False}, 'created_at': '2022-04-24T21:29:54Z', 'updated_at': '2022-04-24T21:29:54Z', 'author_association': 'NONE', 'body': 'Has anyone else tried experimenting with [deno](https://deno.land/)? The new React 18 streaming SSR + deno is really fast. \r\nMaybe an experiment|split to ESM modules could improve performance?', 'reactions': {'url': 'https://api.github.com/repos/solana-labs/wallet-adapter/issues/comments/1107922164/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'performed_via_github_app': None}}",created,TypeScript
21435888507,PushEvent,mwilc0x/michaelwilcox,0.0,2022-04-24T01:37:57Z,"{'push_id': 9702647550, 'size': 1, 'distinct_size': 1, 'ref': 'refs/heads/main', 'head': '855ec63fbbf22b3e0d4c3922615d627f77a2a549', 'before': 'a4171856051a5e6b7517f9fb1d561143b5fec8ad', 'commits': [{'sha': '855ec63fbbf22b3e0d4c3922615d627f77a2a549', 'author': {'email': 'mwilcox56@gmail.com', 'name': 'Mike Wilcox'}, 'message': 'update username', 'distinct': True, 'url': 'https://api.github.com/repos/mwilc0x/michaelwilcox/commits/855ec63fbbf22b3e0d4c3922615d627f77a2a549'}]}",,
21155614076,WatchEvent,vbabak/docker-mysql-master-slave,0.0,2022-04-07T02:39:27Z,{'action': 'started'},started,Shell
21084280707,WatchEvent,YuLeven/nodejs-graphql-mysql-example,0.0,2022-04-03T11:26:46Z,{'action': 'started'},started,JavaScript
20994536641,WatchEvent,vpn/SMSSpoof,0.0,2022-03-29T12:26:32Z,{'action': 'started'},started,PHP
20929164409,ForkEvent,wmnnd/nginx-certbot,0.0,2022-03-25T04:57:17Z,"{'forkee': {'id': 473873768, 'node_id': 'R_kgDOHD69aA', 'name': 'nginx-certbot', 'full_name': 'michaelwilcox/nginx-certbot', 'private': False, 'owner': {'login': 'michaelwilcox', 'id': 161528, 'node_id': 'MDQ6VXNlcjE2MTUyOA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/161528?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/michaelwilcox', 'html_url': 'https://github.com/michaelwilcox', 'followers_url': 'https://api.github.com/users/michaelwilcox/followers', 'following_url': 'https://api.github.com/users/michaelwilcox/following{/other_user}', 'gists_url': 'https://api.github.com/users/michaelwilcox/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/michaelwilcox/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/michaelwilcox/subscriptions', 'organizations_url': 'https://api.github.com/users/michaelwilcox/orgs', 'repos_url': 'https://api.github.com/users/michaelwilcox/repos', 'events_url': 'https://api.github.com/users/michaelwilcox/events{/privacy}', 'received_events_url': 'https://api.github.com/users/michaelwilcox/received_events', 'type': 'User', 'site_admin': False}, 'html_url': 'https://github.com/michaelwilcox/nginx-certbot', 'description': 'Boilerplate configuration for nginx and certbot with docker-compose', 'fork': True, 'url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot', 'forks_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/forks', 'keys_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/keys{/key_id}', 'collaborators_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/collaborators{/collaborator}', 'teams_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/teams', 'hooks_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/hooks', 'issue_events_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/issues/events{/number}', 'events_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/events', 'assignees_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/assignees{/user}', 'branches_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/branches{/branch}', 'tags_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/tags', 'blobs_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/git/blobs{/sha}', 'git_tags_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/git/tags{/sha}', 'git_refs_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/git/refs{/sha}', 'trees_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/git/trees{/sha}', 'statuses_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/statuses/{sha}', 'languages_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/languages', 'stargazers_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/stargazers', 'contributors_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/contributors', 'subscribers_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/subscribers', 'subscription_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/subscription', 'commits_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/commits{/sha}', 'git_commits_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/git/commits{/sha}', 'comments_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/comments{/number}', 'issue_comment_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/issues/comments{/number}', 'contents_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/contents/{+path}', 'compare_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/compare/{base}...{head}', 'merges_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/merges', 'archive_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/{archive_format}{/ref}', 'downloads_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/downloads', 'issues_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/issues{/number}', 'pulls_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/pulls{/number}', 'milestones_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/milestones{/number}', 'notifications_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/notifications{?since,all,participating}', 'labels_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/labels{/name}', 'releases_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/releases{/id}', 'deployments_url': 'https://api.github.com/repos/michaelwilcox/nginx-certbot/deployments', 'created_at': '2022-03-25T04:57:16Z', 'updated_at': '2022-03-24T04:07:30Z', 'pushed_at': '2021-09-09T10:17:49Z', 'git_url': 'git://github.com/michaelwilcox/nginx-certbot.git', 'ssh_url': 'git@github.com:michaelwilcox/nginx-certbot.git', 'clone_url': 'https://github.com/michaelwilcox/nginx-certbot.git', 'svn_url': 'https://github.com/michaelwilcox/nginx-certbot', 'homepage': None, 'size': 34, 'stargazers_count': 0, 'watchers_count': 0, 'language': None, 'has_issues': False, 'has_projects': True, 'has_downloads': True, 'has_wiki': True, 'has_pages': False, 'forks_count': 0, 'mirror_url': None, 'archived': False, 'disabled': False, 'open_issues_count': 0, 'license': {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}, 'allow_forking': True, 'is_template': False, 'topics': [], 'visibility': 'public', 'forks': 0, 'open_issues': 0, 'watchers': 0, 'default_branch': 'main', 'public': True}}",,Shell
20928462324,IssueCommentEvent,microsoft/TypeScript,0.0,2022-03-25T03:34:18Z,"{'action': 'created', 'issue': {'url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400', 'repository_url': 'https://api.github.com/repos/microsoft/TypeScript', 'labels_url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400/labels{/name}', 'comments_url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400/comments', 'events_url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400/events', 'html_url': 'https://github.com/microsoft/TypeScript/issues/25400', 'id': 337907240, 'node_id': 'MDU6SXNzdWUzMzc5MDcyNDA=', 'number': 25400, 'title': ""Option resolveJsonModule doesn't work without esModuleInterop"", 'user': {'login': 'ikokostya', 'id': 328125, 'node_id': 'MDQ6VXNlcjMyODEyNQ==', 'avatar_url': 'https://avatars.githubusercontent.com/u/328125?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/ikokostya', 'html_url': 'https://github.com/ikokostya', 'followers_url': 'https://api.github.com/users/ikokostya/followers', 'following_url': 'https://api.github.com/users/ikokostya/following{/other_user}', 'gists_url': 'https://api.github.com/users/ikokostya/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/ikokostya/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/ikokostya/subscriptions', 'organizations_url': 'https://api.github.com/users/ikokostya/orgs', 'repos_url': 'https://api.github.com/users/ikokostya/repos', 'events_url': 'https://api.github.com/users/ikokostya/events{/privacy}', 'received_events_url': 'https://api.github.com/users/ikokostya/received_events', 'type': 'User', 'site_admin': False}, 'labels': [{'id': 113970366, 'node_id': 'MDU6TGFiZWwxMTM5NzAzNjY=', 'url': 'https://api.github.com/repos/microsoft/TypeScript/labels/Bug', 'name': 'Bug', 'color': 'e11d21', 'default': False, 'description': 'A bug in TypeScript'}, {'id': 114001888, 'node_id': 'MDU6TGFiZWwxMTQwMDE4ODg=', 'url': 'https://api.github.com/repos/microsoft/TypeScript/labels/Fixed', 'name': 'Fixed', 'color': '80e580', 'default': False, 'description': 'A PR has been merged for this issue'}], 'state': 'closed', 'locked': False, 'assignee': {'login': 'sheetalkamat', 'id': 8052792, 'node_id': 'MDQ6VXNlcjgwNTI3OTI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/8052792?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/sheetalkamat', 'html_url': 'https://github.com/sheetalkamat', 'followers_url': 'https://api.github.com/users/sheetalkamat/followers', 'following_url': 'https://api.github.com/users/sheetalkamat/following{/other_user}', 'gists_url': 'https://api.github.com/users/sheetalkamat/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/sheetalkamat/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/sheetalkamat/subscriptions', 'organizations_url': 'https://api.github.com/users/sheetalkamat/orgs', 'repos_url': 'https://api.github.com/users/sheetalkamat/repos', 'events_url': 'https://api.github.com/users/sheetalkamat/events{/privacy}', 'received_events_url': 'https://api.github.com/users/sheetalkamat/received_events', 'type': 'User', 'site_admin': False}, 'assignees': [{'login': 'sheetalkamat', 'id': 8052792, 'node_id': 'MDQ6VXNlcjgwNTI3OTI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/8052792?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/sheetalkamat', 'html_url': 'https://github.com/sheetalkamat', 'followers_url': 'https://api.github.com/users/sheetalkamat/followers', 'following_url': 'https://api.github.com/users/sheetalkamat/following{/other_user}', 'gists_url': 'https://api.github.com/users/sheetalkamat/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/sheetalkamat/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/sheetalkamat/subscriptions', 'organizations_url': 'https://api.github.com/users/sheetalkamat/orgs', 'repos_url': 'https://api.github.com/users/sheetalkamat/repos', 'events_url': 'https://api.github.com/users/sheetalkamat/events{/privacy}', 'received_events_url': 'https://api.github.com/users/sheetalkamat/received_events', 'type': 'User', 'site_admin': False}], 'milestone': {'url': 'https://api.github.com/repos/microsoft/TypeScript/milestones/70', 'html_url': 'https://github.com/microsoft/TypeScript/milestone/70', 'labels_url': 'https://api.github.com/repos/microsoft/TypeScript/milestones/70/labels', 'id': 3302261, 'node_id': 'MDk6TWlsZXN0b25lMzMwMjI2MQ==', 'number': 70, 'title': 'TypeScript 3.0', 'description': '', 'creator': {'login': 'mhegazy', 'id': 8000722, 'node_id': 'MDQ6VXNlcjgwMDA3MjI=', 'avatar_url': 'https://avatars.githubusercontent.com/u/8000722?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/mhegazy', 'html_url': 'https://github.com/mhegazy', 'followers_url': 'https://api.github.com/users/mhegazy/followers', 'following_url': 'https://api.github.com/users/mhegazy/following{/other_user}', 'gists_url': 'https://api.github.com/users/mhegazy/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/mhegazy/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/mhegazy/subscriptions', 'organizations_url': 'https://api.github.com/users/mhegazy/orgs', 'repos_url': 'https://api.github.com/users/mhegazy/repos', 'events_url': 'https://api.github.com/users/mhegazy/events{/privacy}', 'received_events_url': 'https://api.github.com/users/mhegazy/received_events', 'type': 'User', 'site_admin': False}, 'open_issues': 0, 'closed_issues': 208, 'state': 'closed', 'created_at': '2018-04-26T17:58:51Z', 'updated_at': '2018-08-28T17:47:18Z', 'due_on': '2018-07-11T07:00:00Z', 'closed_at': '2018-07-12T17:35:08Z'}, 'comments': 38, 'created_at': '2018-07-03T13:47:28Z', 'updated_at': '2022-03-25T03:34:18Z', 'closed_at': '2018-07-05T19:16:29Z', 'author_association': 'CONTRIBUTOR', 'active_lock_reason': None, 'body': '<!-- 🚨 STOP 🚨 𝗦𝗧𝗢𝗣 🚨 𝑺𝑻𝑶𝑷 🚨\r\n\r\nHalf of all issues filed here are duplicates, answered in the FAQ, or not appropriate for the bug tracker. Even if you think you\'ve found a *bug*, please read the FAQ first, especially the Common ""Bugs"" That Aren\'t Bugs section!\r\n\r\nPlease help us by doing the following steps before logging an issue:\r\n  * Search: https://github.com/Microsoft/TypeScript/search?type=Issues\r\n  * Read the FAQ: https://github.com/Microsoft/TypeScript/wiki/FAQ\r\n\r\nPlease fill in the *entire* template below.\r\n-->\r\n\r\n<!-- Please try to reproduce the issue with `typescript@next`. It may have already been fixed. -->\r\n**TypeScript Version:**  2.9.2, 3.0.0-dev.20180703\r\n\r\n<!-- Search terms you tried before logging this (so others can find this issue more easily) -->\r\n**Search Terms:** \r\n\r\nresolveJsonModule, esModuleInterop\r\n\r\n**Code**\r\n\r\n```ts\r\nimport * as test from \'./test.json\';\r\n```\r\n\r\ntsconfig.json:\r\n\r\n```json\r\n{\r\n    ""compilerOptions"": {\r\n        ""module"": ""commonjs"",\r\n        ""moduleResolution"": ""node"",\r\n        ""target"": ""es2017"",\r\n        ""lib"": [""es2017""],\r\n        ""strict"": true,\r\n        ""sourceMap"": true,\r\n        ""noEmitOnError"": true,\r\n        ""baseUrl"": ""."",\r\n        ""resolveJsonModule"": true,\r\n        ""outDir"": ""out""\r\n    }\r\n}\r\n```\r\n\r\n**Expected behavior:**\r\n\r\nNo errors.\r\n\r\n**Actual behavior:**\r\n\r\nCompile error:\r\n\r\n```\r\n$ tsc\r\ntest.ts:1:23 - error TS2497: Module \'""/home/kostya/tmp/resolve-json-test/test""\' resolves to a non-module entity and cannot be imported using this construct.\r\n\r\n1 import * as test from \'./test.json\';\r\n                        ~~~~~~~~~~~~~\r\n```\r\n\r\n***\r\n\r\nWhen I add `esModuleInterop` option to `tsconfig.json`:\r\n\r\n```diff\r\ndiff --git a/tsconfig.json b/tsconfig.json\r\nindex 7f1afb8..e949135 100644\r\n--- a/tsconfig.json\r\n+++ b/tsconfig.json\r\n@@ -9,6 +9,7 @@\r\n         ""noEmitOnError"": true,\r\n         ""baseUrl"": ""."",\r\n         ""resolveJsonModule"": true,\r\n+        ""esModuleInterop"": true,\r\n         ""outDir"": ""out""\r\n     }\r\n }\r\n```\r\n\r\nand change import statement to:\r\n\r\n```diff\r\ndiff --git a/test.ts b/test.ts\r\nindex 07bb9b7..dddcffb 100644\r\n--- a/test.ts\r\n+++ b/test.ts\r\n@@ -1 +1 @@\r\n-import * as test from \'./test.json\';\r\n+import test from \'./test.json\';\r\n```\r\n\r\nit works. But with  `esModuleInterop` option I need to change many imports in my project, which is undesirable.\r\n\r\n**Playground Link:** <!-- A link to a TypeScript Playground ""Share"" link which demonstrates this behavior --> \r\n\r\n**Related Issues:** <!-- Did you find other bugs that looked similar? -->\r\n', 'reactions': {'url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400/reactions', 'total_count': 18, '+1': 18, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400/timeline', 'performed_via_github_app': None}, 'comment': {'url': 'https://api.github.com/repos/microsoft/TypeScript/issues/comments/1078620743', 'html_url': 'https://github.com/microsoft/TypeScript/issues/25400#issuecomment-1078620743', 'issue_url': 'https://api.github.com/repos/microsoft/TypeScript/issues/25400', 'id': 1078620743, 'node_id': 'IC_kwDOAT9aAc5ASnJH', 'user': {'login': 'michaelwilcox', 'id': 161528, 'node_id': 'MDQ6VXNlcjE2MTUyOA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/161528?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/michaelwilcox', 'html_url': 'https://github.com/michaelwilcox', 'followers_url': 'https://api.github.com/users/michaelwilcox/followers', 'following_url': 'https://api.github.com/users/michaelwilcox/following{/other_user}', 'gists_url': 'https://api.github.com/users/michaelwilcox/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/michaelwilcox/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/michaelwilcox/subscriptions', 'organizations_url': 'https://api.github.com/users/michaelwilcox/orgs', 'repos_url': 'https://api.github.com/users/michaelwilcox/repos', 'events_url': 'https://api.github.com/users/michaelwilcox/events{/privacy}', 'received_events_url': 'https://api.github.com/users/michaelwilcox/received_events', 'type': 'User', 'site_admin': False}, 'created_at': '2022-03-25T03:34:18Z', 'updated_at': '2022-03-25T03:34:18Z', 'author_association': 'NONE', 'body': '+1 restarting VSCode after adding `""resolveJsonModule"": true` to `tsconfig.json` solved issue for me.', 'reactions': {'url': 'https://api.github.com/repos/microsoft/TypeScript/issues/comments/1078620743/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'performed_via_github_app': None}}",created,TypeScript
20799878387,IssueCommentEvent,RIAEvangelist/node-ipc,0.0,2022-03-17T12:59:14Z,"{'action': 'created', 'issue': {'url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233', 'repository_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc', 'labels_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233/labels{/name}', 'comments_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233/comments', 'events_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233/events', 'html_url': 'https://github.com/RIAEvangelist/node-ipc/issues/233', 'id': 1164088283, 'node_id': 'I_kwDOAQSaiM5FYpPb', 'number': 233, 'title': '-', 'user': {'login': 'MidSpike', 'id': 22574513, 'node_id': 'MDQ6VXNlcjIyNTc0NTEz', 'avatar_url': 'https://avatars.githubusercontent.com/u/22574513?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/MidSpike', 'html_url': 'https://github.com/MidSpike', 'followers_url': 'https://api.github.com/users/MidSpike/followers', 'following_url': 'https://api.github.com/users/MidSpike/following{/other_user}', 'gists_url': 'https://api.github.com/users/MidSpike/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/MidSpike/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/MidSpike/subscriptions', 'organizations_url': 'https://api.github.com/users/MidSpike/orgs', 'repos_url': 'https://api.github.com/users/MidSpike/repos', 'events_url': 'https://api.github.com/users/MidSpike/events{/privacy}', 'received_events_url': 'https://api.github.com/users/MidSpike/received_events', 'type': 'User', 'site_admin': False}, 'labels': [], 'state': 'closed', 'locked': False, 'assignee': None, 'assignees': [], 'milestone': None, 'comments': 250, 'created_at': '2022-03-09T15:24:41Z', 'updated_at': '2022-03-17T12:59:14Z', 'closed_at': '2022-03-10T01:22:59Z', 'author_association': 'NONE', 'active_lock_reason': None, 'body': None, 'reactions': {'url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233/reactions', 'total_count': 211, '+1': 182, '-1': 2, 'laugh': 5, 'hooray': 0, 'confused': 0, 'heart': 22, 'rocket': 0, 'eyes': 0}, 'timeline_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233/timeline', 'performed_via_github_app': None}, 'comment': {'url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/comments/1070897094', 'html_url': 'https://github.com/RIAEvangelist/node-ipc/issues/233#issuecomment-1070897094', 'issue_url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/233', 'id': 1070897094, 'node_id': 'IC_kwDOAQSaiM4_1JfG', 'user': {'login': 'michaelwilcox', 'id': 161528, 'node_id': 'MDQ6VXNlcjE2MTUyOA==', 'avatar_url': 'https://avatars.githubusercontent.com/u/161528?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/michaelwilcox', 'html_url': 'https://github.com/michaelwilcox', 'followers_url': 'https://api.github.com/users/michaelwilcox/followers', 'following_url': 'https://api.github.com/users/michaelwilcox/following{/other_user}', 'gists_url': 'https://api.github.com/users/michaelwilcox/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/michaelwilcox/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/michaelwilcox/subscriptions', 'organizations_url': 'https://api.github.com/users/michaelwilcox/orgs', 'repos_url': 'https://api.github.com/users/michaelwilcox/repos', 'events_url': 'https://api.github.com/users/michaelwilcox/events{/privacy}', 'received_events_url': 'https://api.github.com/users/michaelwilcox/received_events', 'type': 'User', 'site_admin': False}, 'created_at': '2022-03-17T12:59:14Z', 'updated_at': '2022-03-17T12:59:14Z', 'author_association': 'NONE', 'body': 'Politics and all aside, how do we properly mitigate this going forward?', 'reactions': {'url': 'https://api.github.com/repos/RIAEvangelist/node-ipc/issues/comments/1070897094/reactions', 'total_count': 0, '+1': 0, '-1': 0, 'laugh': 0, 'hooray': 0, 'confused': 0, 'heart': 0, 'rocket': 0, 'eyes': 0}, 'performed_via_github_app': None}}",created,JavaScript
20710930236,WatchEvent,rhlsthrm/typescript-solidity-dev-starter-kit,0.0,2022-03-12T00:36:54Z,{'action': 'started'},started,TypeScript
